Project Name,Address,SAMIS Project ID,Building ID,Management name,BIN (NYC DOB),Floodplain,Tract GEOID (2020 Census),School district,School district SDL code,Latitude,Longitude,County,Total project units,Owner name,Number of bldgs in project,Building units,Date in service,Construction Type (New / Rehab),Tax Parcel Print Key,Congressional District (current),Assembly District (current),State Senate District (current),x,y
,"119 ROCKEFELLER RD, BETHLEHEM, 12054",19901073-01082,0000290,GOOD SAM. LUTHERN HEALTH CARE CENTER,NA (Outside NYC),,36001014201,BETHLEHEM CSD,10306,42.62695809,-73.80164506,ALBANY,36,GOOD SAMARITAN NURSING HOME INC.,1,36,5/31/1990,NEW,86.11-1-1.20,20,107,46,598265.3580938296,4720086.462474609
,"11 HORICON AVE, WARRENSBURG, 12885",19900938-01230,0001929,NORTH COUNTRY MINISTRY,NA (Outside NYC),,36113073000,WARRENSBURG CSD,631201,43.49141473,-73.76547981,WARREN,3,LAKE COUNTRY HOUSING CORP.,2,2,6/6/1991,REHAB,211.18-1-38,21,114,45,599818.5154719548,4816128.094432183
,"11 HORICON AVE, WARRENSBURG, 12885",19900938-01230,0015061,NORTH COUNTRY MINISTRY,NA (Outside NYC),,36113073000,WARRENSBURG CSD,631201,43.49141473,-73.76547981,WARREN,3,LAKE COUNTRY HOUSING CORP.,2,1,6/6/1991,REHAB,211.18-1-38,21,114,45,599818.5154719548,4816128.094432183
1006-08 KENSINGTON,"1008 KENSINGTON AVE, BUFFALO, 14215",19900987-01234,0001944,KENSINGTON-BAILEY NHS,NA (Outside NYC),,36029004200,BUFFALO CITY SD,140600,42.93682486,-78.81710221,ERIE,8,KENSINGTON-BAILEY NHS,1,8,9/19/1991,REHAB,90.32-6-55,26,141,63,188538.85334483878,4760872.11113365
1034 MICHIGAN AVENUE,"1034 MICHIGAN AVE, NIAGARA FALLS, 14305",19940295-00810,0052290,CENTER CITY  NEIGHBORHOOD DEVEL. CORP.,NA (Outside NYC),,36063020500,NIAGARA FALLS CITY SD,400800,43.10495849,-79.0500095,NIAGARA,6,"1034 MICHIGAN AVENUE, L.P.",1,6,5/28/1998,NEW,144.54-1-26,26,145,62,170434.37474090484,4780436.661121766
1035 SOUTH AVENUE PROJECT,"1035 SOUTH AVE, NIAGARA FALLS, 14305",19930115-00632,0046131,CENTER CITY  NEIGHBORHOOD DEVEL. CORP.,NA (Outside NYC),,36063020500,NIAGARA FALLS CITY SD,400800,43.10547561,-79.04985789,NIAGARA,4,"1035 SOUTH AVE., L.P.",1,4,8/10/1995,NEW,144.54-1-25,26,145,62,170449.49208333925,4780493.5000946
1046-1050 HOE AVENUE,"1046 HOE AVE, BRONX, 10459",19980362-00837,0079543,C & C APARTMENT MANAGEMENT LLC,2006112,,36005011900,NYC GEOG DIST # 8 - BRONX,320800,40.82456603,-73.89041502,BRONX,42,360 PRESERVATION LLC,2,21,6/30/1999,REHAB,2-2749-20,14,85,32,593565.6490459626,4519874.8520074
1046-1050 HOE AVENUE,"1050 HOE AVE, BRONX, 10459",19980362-00837,0079544,C & C APARTMENT MANAGEMENT LLC,2006113,,36005011900,NYC GEOG DIST # 8 - BRONX,320800,40.82467509,-73.89042442,BRONX,42,360 PRESERVATION LLC,2,21,6/30/1999,REHAB,2-2749-22,14,85,32,593564.7030842949,4519886.948630413
1078-1082 BEDFORD AVENUE,"1078 BEDFORD AVE, Brooklyn, 11216",19930770-01444,0047486,,3321921,,36047023300,NYC GEOG DIST #13 - BROOKLYN,331300,40.68785357,-73.95495721,KINGS,12,"1078-1082 BEDFORD AVENUE, HDFC",1,12,4/20/2000,REHAB,3-1968-29,8,57,25,588303.7725030335,4504631.828298254
1086 MANHATTAN AVENUE,"1086 MANHATTAN AVE, Brooklyn, 11222",19901020-01238,0001960,NORTH BROOKLYN DEVELOPMENT CORP,3063840,,36047057500,NYC GEOG DIST #14 - BROOKLYN,331400,40.73571849,-73.95499862,KINGS,8,1086 MANHATTAN AVE. HDFC,1,8,6/5/1991,REHAB,3-2496-7,7,50,59,588237.0575002234,4509945.114213327
1103 SALT ROAD APARTMENTS,"1103 SALT RD, WEBSTER, 14580",20010867-00951,0108236,,NA (Outside NYC),,36055011401,WEBSTER CSD,261901,43.1984329,-77.4011329,MONROE,6,HERITAGE CHRISTIAN SERVICES,1,6,11/30/2001,REHAB,95.2-1-4,25,130,55,304914.9121233806,4785649.863319888
111-113 HAMILTON STREET,"111-113 HAMILTON ST, ROCHESTER, 14620",20060070-01464,0147680,PATHSTONE MANAGEMENT CORP.,NA (Outside NYC),,36055003200,ROCHESTER CITY SD,261600,43.1448976,-77.60724035,MONROE,2,SOUTH WEDGE HDFC INC.,1,2,6/3/2007,REHAB,121.55-2-22,25,138,55,287983.32902732503,4780205.620414745
112 WASHINGTON STREET PROJECT,"112 WASHINGTON ST, SARATOGA SPRINGS, 12866",19980080-01150,0079481,"SHELTERS OF SARATOGA, INC",NA (Outside NYC),,36091061202,SARATOGA SPRINGS CITY SD,521800,43.08022505,-73.79165034,SARATOGA,3,"SHELTERS OF SARATOGA, INC.",1,3,7/19/2000,REHAB,165.66-2-80,20,113,44,598362.8561830893,4770432.212820717
11-23 ST. CASIMIR APARTMENTS,"11 ST CASIMIR AVE, YONKERS, 10701",19990990-01074,0125348,"ALL COUNTY MANAGEMENT, LLC",NA (Outside NYC),,36119000502,YONKERS CITY SD,662300,40.93528833,-73.89335041,WESTCHESTER,108,"11-23 ST. CASIMIR AVENUE, L.P.",1,108,9/21/2002,REHAB,2.00-2030-250,16,90,35,593162.7243207503,4532163.024226185
1150 ONTARIO AVENUE PROJECT,"1150 ONTARIO AVE, NIAGARA FALLS, 14305",19920610-00581,0036259,CENTER CITY  NEIGHBORHOOD DEVEL. CORP.,NA (Outside NYC),,36063020400,NIAGARA FALLS CITY SD,400800,43.10883135,-79.04704706,NIAGARA,4,"1150 ONTARIO AVE., L.P.",1,4,12/18/1994,NEW,144.39-1-59,26,145,62,170696.26495554368,4780855.154718191
1150 PLANK ROAD APARTMENTS,"1150 PLANK RD, PENFIELD, 14580",20010872-00952,0108235,,NA (Outside NYC),,36055011506,PENFIELD CSD,261201,43.18253072,-77.44474631,MONROE,6,HERITAGE CHRISTIAN SERVICES,1,6,11/30/2001,REHAB,94.4-1-24.1,25,135,55,301319.70475337876,4783986.430250121
119 CLINTON ST/187 OAK ST,"119 CLINTON ST, BINGHAMTON, 13905",19900930-01228,0001926,"FIRST WARD ACTION COUNCIL, INC.",NA (Outside NYC),500-year,36007000200,BINGHAMTON CITY SD,30200,42.10532947,-75.92386776,BROOME,8,"FIRST WARD ACTION COUNCIL, INC.",2,6,1/21/1991,REHAB,160.23-2-3,19,123,52,423613.4371637617,4661883.885670743
119 CLINTON ST/187 OAK ST,"187 OAK ST, BINGHAMTON, 13905",19900930-01228,0001927,"FIRST WARD ACTION COUNCIL, INC.",NA (Outside NYC),500-year,36007000300,BINGHAMTON CITY SD,30200,42.10602478,-75.91776844,BROOME,8,"FIRST WARD ACTION COUNCIL, INC.",2,2,2/21/1991,REHAB,160.24-1-10,19,123,52,424118.5703881472,4661955.6528681675
12 KNOWLES ST. AND 97 BRUCE AVE,"97 BRUCE AVE, YONKERS, 10705",19970585-00935,0039676,WESTHAB INC.,NA (Outside NYC),,36119001305,YONKERS CITY SD,662300,40.91411097,-73.8961804,WESTCHESTER,24,WESTHAB BRUCE KNOWLES LP,2,12,8/12/1999,NEW,1.00-30-9.12,16,89,35,592954.1512490343,4529809.092861954
12 KNOWLES ST. AND 97 BRUCE AVE,"12 KNOWLES ST, YONKERS, 10705",19970585-00935,0066516,WESTHAB INC.,NA (Outside NYC),,36119000103,YONKERS CITY SD,662300,40.92448934,-73.90139529,WESTCHESTER,24,WESTHAB BRUCE KNOWLES LP,2,12,12/29/1999,NEW,1.00-169-15,16,89,35,592500.5192565417,4530955.6760750245
120 GERRY STREET HDFC,"106 GERRY ST, Brooklyn, 11206",19980426-00948,0079835,ST NICKS ALLIANCE,3061454,,36047050700,NYC GEOG DIST #14 - BROOKLYN,331400,40.702141,-73.945739,KINGS,46,JOE GERRY SNA LLC,1,46,10/12/2001,NEW,3-2270-1,7,53,18,589063.6735637116,4506227.129358452
1212 MLK APARTMENTS,"1212 DR ML KING JR BLVD, BRONX, 10452",20040539-01412,0129039,"CONCORD MANAGEMENT OF NY, LLC",2116375,,36005019900,NYC GEOG DIST # 9 - BRONX,320900,40.83813057,-73.92722686,BRONX,54,"1212 MLK, L.P.",1,54,6/22/2006,NEW,2-2528-11,15,77,29,590443.0036836558,4521341.986052055
128 GRAND AVENUE PROJECT,"128 GRAND AVE, SARATOGA SPRINGS, 12866",20020555-01532,0134478,"SHELTERS OF SARATOGA, INC",NA (Outside NYC),,36091061202,SARATOGA SPRINGS CITY SD,521800,43.07953503,-73.79217987,SARATOGA,4,"SHELTERS OF SARATOGA, INC.",1,4,9/25/2006,REHAB,165.66-2-107,20,113,44,598320.8540770507,4770354.9641487785
134 WEST 113TH STREET,"134 W 113TH ST, NEW YORK, 10026",19920611-01263,0040219,"134 WEST 113TH STREET, HDFC",1054997,,36061021600,NYC GEOG DIST # 3 - MANHATTAN,310300,40.80079212,-73.95300006,NEW YORK,11,"134 WEST 113TH STREET, HDFC",1,11,4/22/1999,REHAB,1-1822-54,13,70,30,588319.6057675229,4517170.804029401
1374 BOSTON ROAD,"1374 BOSTON RD, BRONX, 10456",19950673-00716,0061017,NEW START GROUP INC.,2010187,,36005015100,NYC GEOG DIST #12 - BRONX,321200,40.832314,-73.898085,BRONX,14,"1374 BOSTON ROAD, L.P.",1,14,11/30/1997,REHAB,2-2962-9,15,79,32,592908.0508635559,4520726.7867039265
1437 SHAKESPEARE,"1437 SHAKESPEARE AVE, BRONX, 10452",19930801-00711,0048694,HIGHBRIDGE COMMUNITY DEVELOPMENT,2008732,,36005021302,NYC GEOG DIST # 9 - BRONX,320900,40.84290677,-73.92071592,BRONX,28,SHAKESPEARE ASSOCIATES LP,1,28,12/31/1996,REHAB,2-2873-54,15,77,29,590985.4032368824,4521878.930807842
146 JEWETT AVENUE,"146 JEWETT AVE, BUFFALO, 14214",19900318-01156,0000044,"FILMORE LEROY AREA RESIDENTS, INC.",NA (Outside NYC),,36029004003,BUFFALO CITY SD,140600,42.93392428,-78.83875635,ERIE,8,"FILLMORE LEROY AREA RESIDENTS, INC",1,8,8/11/1988,REHAB,89.44-5-30,26,141,63,186757.04119052237,4760630.499035293
1527 LINCOLN PLACE HOMESTEADING,"1527 LINCOLN PL, Brooklyn, 11213",19900915-01226,0002528,UHAB,3037183,,36047035701,NYC GEOG DIST #17 - BROOKLYN,331700,40.66956895,-73.92606946,KINGS,9,"1527 LINCOLN PLACE, HDFC",1,9,10/29/1990,REHAB,3-1386-53,9,55,20,590769.5661775501,4502631.5514343195
1544 PARK PLACE,"1544 PARK PL, Brooklyn, 11213",19940936-00735,0053214,FELICIA COLON,3036609,,36047034700,NYC GEOG DIST #17 - BROOKLYN,331700,40.671842,-73.926157,KINGS,34,"1544 PARK ASSOCIATES, L.P.",1,34,6/26/1996,REHAB,3-1374-33,9,55,20,590759.0847498424,4502883.783476552
1561 WALTON AVENUE,"1561 WALTON AVE, BRONX, 10452",20136037-02093,0233008,WAVECREST MANAGEMENT,2128647,,36005020900,NYC GEOG DIST # 9 - BRONX,320900,40.84306109,-73.9136426,BRONX,60,1561 ASSOCIATES LLC,1,60,11/14/2017,NEW,2-2845-47,15,77,32,591581.4936171514,4521903.432703699
160 SOUTH 2ND STREET,"160 S 2ND ST, Brooklyn, 11211",20040544-01631,0132327,"160 SOUTH 2ND STREET, LP",3063117,,36047055100,NYC GEOG DIST #14 - BROOKLYN,331400,40.712756,-73.961425,KINGS,25,160 SOUTH 2ND STREET LIMITED PARTNERSHIP,1,25,5/7/2007,REHAB,3-2418-18,7,53,59,587724.5706041553,4507389.679757904
1615 ST. JOHNS PLACE,"1615 ST JOHNS PL, Brooklyn, 11233",20010754-01093,0115072,THE WAVECREST MANAGEMENT TEAM,3389801,,36047035900,NYC GEOG DIST #17 - BROOKLYN,331700,40.67035859,-73.9237965,KINGS,35,BROOKSET HDFC,1,35,12/31/2003,NEW,3-1381-62,9,55,20,590960.6091109026,4502721.555780702
161ST ST MIXED USE INCLUSIONARY HOUSING,"90-14 161ST ST, QUEENS, 11432",20116094-01911,0214399,"NHE MANAGEMENT ASSOC., LLC",4594411,,36081044601,NYC GEOG DIST #28 - QUEENS,342800,40.70506042,-73.79930575,QUEENS,101,JAMAICA 161 REALTY LLC,1,101,9/21/2014,NEW,4-9757-7501,5,32,14,601430.1415842156,4506709.979230438
1630 DEWEY AVENUE,"1630 DEWEY AVE, ROCHESTER, 14615",20096013-01907,0185353,LANDSMAN REAL ESTATE SERVICES,NA (Outside NYC),,36055001900,ROCHESTER CITY SD,261600,43.19698474,-77.63853236,MONROE,80,1630 DEWEY AVENUE LLC,1,80,4/19/2012,NEW,90.34-2-41,25,136,56,285620.9848703032,4786070.101234627
163RD STREET PLAZA,"916 REV JAMES A POLITE AVE, BRONX, 10459",19990034-01026,0088393,C & C APARTMENT MANAGEMENT LLC,2102069,,36005008700,NYC GEOG DIST # 8 - BRONX,320800,40.82077175,-73.89878728,BRONX,53,163RD STREET BX LLC,1,53,1/17/2002,NEW,2-2696-95,14,85,32,592864.938910678,4519444.746810345
1764-68 WEEKS AVENUE,"1764 WEEKS AVE, BRONX, 10457",19931092-00831,0039499,LANGSAM PROPERTY SERVICES CORP,2007442,,36005022901,NYC GEOG DIST # 9 - BRONX,320900,40.84601058,-73.90732944,BRONX,42,WEEKS AVE REALTY CORP..,2,21,3/31/1994,REHAB,2-2797-17,15,86,32,592109.6273079615,4522237.473417272
1764-68 WEEKS AVENUE,"1768 WEEKS AVE, BRONX, 10457",19931092-00831,0046132,LANGSAM PROPERTY SERVICES CORP,2007443,,36005022901,NYC GEOG DIST # 9 - BRONX,320900,40.84610496,-73.90732184,BRONX,42,WEEKS AVE REALTY CORP..,2,21,3/31/1994,REHAB,2-2797-19,15,86,32,592110.1372867664,4522247.958483303
"18 GENESEE ST., CUBA","18 GENESEE ST, CUBA, 14727",19900336-01179,0000158,GENESEE VALLEY IMPROVEMENT CORP.,NA (Outside NYC),,36003950500,CUBA-RUSHFORD CSD,22302,42.21779748,-78.27581387,ALLEGANY,8,GENESEE VALLEY IMPROVEMENT CORP.,1,8,10/23/1988,REHAB,166.19-4-74.1,23,148,57,229617.45758555812,4679155.2475219285
182 OAK STREET,"182 OAK ST, BINGHAMTON, 13905",19930138-01213,0043506,"FIRST WARD ACTION COUNCIL, INC.",NA (Outside NYC),500-year,36007000300,BINGHAMTON CITY SD,30200,42.10503799,-75.91761089,BROOME,2,"FIRST WARD ACTION COUNCIL, INC.",1,2,3/18/1996,REHAB,160.24-1-31,19,123,52,424130.4201496608,4661845.9473319845
18-20 MAPLE AVENUE HOME PROJECT,"18 MAPLE AVE, CORTLAND, 13045",19980094-01438,0079558,CORTLAND HOUSING ASSISTANCE COUNCIL,NA (Outside NYC),,36023970500,CORTLAND CITY SD,110200,42.60320018,-76.18201316,CORTLAND,10,CORTLAND HSG. ASSISTANCE COUNCIL,2,3,8/21/2001,REHAB,86.50-1-46,22,125,52,403037.83273773786,4717429.463175775
18-20 MAPLE AVENUE HOME PROJECT,"20 MAPLE AVE, CORTLAND, 13045",19980094-01438,0079559,CORTLAND HOUSING ASSISTANCE COUNCIL,NA (Outside NYC),,36023970500,CORTLAND CITY SD,110200,42.60320619,-76.18219927,CORTLAND,10,CORTLAND HSG. ASSISTANCE COUNCIL,2,7,8/21/2001,REHAB,86.50-1-47,22,125,52,403022.5750155271,4717430.343790432
19 COLUMBUS STREET,"19 COLUMBUS ST, BINGHAMTON, 13905",19940438-01215,0054920,"FIRST WARD ACTION COUNCIL, INC.",NA (Outside NYC),500-year,36007000200,BINGHAMTON CITY SD,30200,42.11561294,-75.94446144,BROOME,2,"FIRST WARD ACTION COUNCIL, INC.",1,2,2/9/1998,REHAB,143.59-1-10,19,123,52,421923.33185076696,4663044.301296336
206 SMITH AKA THE SMITH AT FREEPORT,"206 SMITH ST, FREEPORT, 11520",20210477-02249,0264545,MICHAELS MANAGEMENT AFFORDABLE LLC,NA (Outside NYC),,36059414303,FREEPORT UFSD,280209,40.65129476,-73.58787672,NASSAU,31,206 SMITH LLC,1,31,12/28/2023,NEW,62.00-114-18,4,21,6,619387.279147115,4501007.1840046095
210 HANCOCK STREET REDEVELOPMENT,"210 HANCOCK ST, ITHACA, 14850",20156012-02009,0240845,ITHACA NHS,NA (Outside NYC),100-year,36109000800,ITHACA CITY SD,610600,42.44820287,-76.50347602,TOMPKINS,59,HANCOCK & FIRST LLC,2,54,8/29/2017,NEW,35.00-3-3.2,19,125,52,376361.99056230683,4700636.598005948
210 HANCOCK STREET REDEVELOPMENT,"420-428 LAKE AVE, ITHACA, 14850",20156012-02009,0240846,ITHACA NHS,NA (Outside NYC),100-year,36109000800,ITHACA CITY SD,610600,42.44820287,-76.50347602,TOMPKINS,59,HANCOCK & FIRST LLC,2,5,8/29/2017,NEW,35.00-3-3.2,19,125,52,376361.99056230683,4700636.598005948
210-214 HEGEMAN AVENUE,"212 HEGEMAN AVE, Brooklyn, 11212",20166009-02177,0247189,SHINDA MANAGEMENT CORPORATON,3424614,,36047092200,NYC GEOG DIST #23 - BROOKLYN,332300,40.65655067,-73.90398003,KINGS,71,CHV 210-214 HEGEMAN AVE LP,1,71,9/29/2020,NEW,3-3639-35,8,60,19,592654.6340248911,4501209.4867220605
211 EAGLE STREET,"211 E EAGLE ST, BUFFALO, 14204",19920450-00569,0048375,CORVUS PROPERTY INTELLIGENCE,NA (Outside NYC),,36029001403,BUFFALO CITY SD,140600,42.88265162,-78.86691059,ERIE,60,SHILOH 211 HDFC,1,60,10/31/1994,REHAB,111.63-1-1.23,26,141,63,184197.33624455903,4755041.292909602
2127 FIRST AVENUE,"2127 1ST AVE, NEW YORK, 10029",19920666-01264,0002938,URBAN PROPERTY MANAGEMENT CORP.,1052840,100-year,36061018000,NYC GEOG DIST # 4 - MANHATTAN,310400,40.79193071,-73.93861529,NEW YORK,4,"2127 FIRST AVENUE, HDFC",1,4,9/9/1993,REHAB,1-1681-26,13,68,29,589544.9599246169,4516201.703661717
214 SOUTH DIVISION/233 EAGLE,"233 E EAGLE ST, BUFFALO, 14204",19950396-00723,0053904,CORVUS PROPERTY INTELLIGENCE,NA (Outside NYC),,36029001403,BUFFALO CITY SD,140600,42.88250684,-78.86621177,ERIE,134,SHILOH 4 & 7 HOUSING DEVELOPMENT CORP.,2,67,12/8/1996,REHAB,111.63-1-1.13,26,141,63,184253.67439230124,4755022.587750081
214 SOUTH DIVISION/233 EAGLE,"214 S DIVISION ST, BUFFALO, 14204",19950396-00723,0053905,CORVUS PROPERTY INTELLIGENCE,NA (Outside NYC),,36029001403,BUFFALO CITY SD,140600,42.88164829,-78.86726142,ERIE,134,SHILOH 4 & 7 HOUSING DEVELOPMENT CORP.,2,67,12/28/1996,REHAB,111.63-1-1.12,26,141,63,184163.55531393236,4754931.176265456
218 GATES SUPPORTIVE HOUSING PROJECT,"218 GATES AVE, Brooklyn, 11238",20000152-01070,0096332,"CONCORD MANAGEMENT OF NY, LLC",3347538,,36047022900,NYC GEOG DIST #13 - BROOKLYN,331300,40.68504681,-73.95837937,KINGS,72,GIBB MANSION HDFC,1,72,6/23/2002,REHAB,3-1985-14,8,57,25,588018.2958211829,4504316.827206358
21ST CENTURY DEV. PARTNERS L.P.,"861 GREENE AVE, Brooklyn, 11221",19940680-00796,0050630,GOLDMONT REALTY CORP.,3043851,,36047029100,NYC GEOG DIST #16 - BROOKLYN,331600,40.69057494,-73.93331481,KINGS,37,GREENE PACKAGE REALTY LLC,5,8,4/30/1997,REHAB,3-1616-95,8,56,25,590128.871524524,4504955.89130844
21ST CENTURY DEV. PARTNERS L.P.,"880 GREENE AVE, Brooklyn, 11221",19940680-00796,0050631,GOLDMONT REALTY CORP.,3044077,,36047029100,NYC GEOG DIST #16 - BROOKLYN,331600,40.690283,-73.932793,KINGS,37,GREENE PACKAGE REALTY LLC,5,8,4/30/1997,REHAB,3-1621-14,8,56,25,590173.3558887873,4504924.019451974
21ST CENTURY DEV. PARTNERS L.P.,"917 GREENE AVE, Brooklyn, 11221",19940680-00796,0050632,GOLDMONT REALTY CORP.,3043823,,36047029100,NYC GEOG DIST #16 - BROOKLYN,331600,40.69086114,-73.93083586,KINGS,37,GREENE PACKAGE REALTY LLC,5,13,4/30/1997,REHAB,3-1616-56,8,56,25,590337.9459196376,4504990.207023378
21ST CENTURY DEV. PARTNERS L.P.,"908 GREENE AVE, Brooklyn, 11221",19940680-00796,0050633,GOLDMONT REALTY CORP.,3044090,,36047029100,NYC GEOG DIST #16 - BROOKLYN,331600,40.690408,-73.931704,KINGS,37,GREENE PACKAGE REALTY LLC,5,4,4/30/1997,REHAB,3-1621-31,8,56,25,590265.2035616703,4504939.013383185
21ST CENTURY DEV. PARTNERS L.P.,"914 GREENE AVE, Brooklyn, 11221",19940680-00796,0050634,GOLDMONT REALTY CORP.,3044094,,36047029100,NYC GEOG DIST #16 - BROOKLYN,331600,40.690435,-73.931444,KINGS,37,GREENE PACKAGE REALTY LLC,5,4,4/30/1997,REHAB,3-1621-35,8,56,25,590287.1360877735,4504942.277679914
22 TARRYTOWN WORKFORCE HOUSING,"22 TARRYTOWN RD, GREENBURGH, 10607",20106063-01882,0159834,WESTHAB INC.,NA (Outside NYC),,36119010902,GREENBURGH CSD,660407,41.0387765,-73.7810823,WESTCHESTER,28,WESTHAB 22 HOUSING LLC,1,28,6/26/2013,NEW,7.500-310-2,16,92,35,602453.8236904663,4543777.228531968
221 WEST 135TH STREET,"221 W 135TH ST, NEW YORK, 10030",19970622-00747,0061166,RELATED MANAGEMENT CO.,1058882,,36061022800,NYC GEOG DIST # 5 - MANHATTAN,310500,40.81599832,-73.9449142,NEW YORK,9,"135TH STREET ASSOCIATES, L.P.",1,9,2/3/1997,NEW,1-1941-18,13,70,30,588981.3823551754,4518866.999485954
223-225 SPRING STREET,"223-225 SPRING ST, OSSINING, 10562",20106087-01878,0198214,,NA (Outside NYC),,36119013304,OSSINING UFSD,661401,41.15259788,-73.86419215,WESTCHESTER,6,"INTERFAITH COUNCIL FOR ACTION, INC.",1,6,11/24/2013,REHAB,97.11-3-89,17,95,40,595303.3781878785,4556318.77071319
23 NORTH,"23 N MAIN ST, WELLSVILLE, 14895",20176025-02084,0255554,TWO PLUS FOUR MANAGEMENT CO.,NA (Outside NYC),,36003950700,WELLSVILLE CSD,22601,42.11993959,-77.94521658,ALLEGANY,16,23 NORTH LP,1,16,11/19/2019,REHAB,"239.45-1-10, 239.45-1-9",23,148,58,256531.8061497402,4667291.942705422
2318 MAIN STREET,"2318 MAIN ST, BUFFALO, 14214",19900795-01214,0002968,PARKSIDE COMMUNITY ASSOC. OF BUFFALO,NA (Outside NYC),,36029005201,BUFFALO CITY SD,140600,42.93261075,-78.84659775,ERIE,2,PARKSIDE COMMUNITY ASSOC. OF BUFFALO,1,2,1/5/1992,REHAB,89.51-2-4,26,141,63,186110.43080092577,4760513.889686515
"2492,2494,2502 FREDERICK DOUGLAS BLVD","2494 FREDERICK DOUGLASS BLVD, NEW YORK, 10030",19931066-00742,0048364,"WEST HARLEM GROUP ASSISTANCE, INC.",1058806,,36061022600,NYC GEOG DIST # 5 - MANHATTAN,310500,40.815302,-73.947027,NEW YORK,26,AFF-WHGA MN-11E L.P.,3,8,1/30/1995,REHAB,1-1939-3,13,70,30,588804.1235816528,4518787.559072177
"2492,2494,2502 FREDERICK DOUGLAS BLVD","2502 FREDERICK DOUGLASS BLVD, NEW YORK, 10030",19931066-00742,0048365,"WEST HARLEM GROUP ASSISTANCE, INC.",1058820,,36061022600,NYC GEOG DIST # 5 - MANHATTAN,310500,40.815541,-73.94685,NEW YORK,26,AFF-WHGA MN-11E L.P.,3,9,1/30/1995,REHAB,1-1939-62,13,70,30,588818.7326150072,4518814.269500394
"2492,2494,2502 FREDERICK DOUGLAS BLVD","2492 FREDERICK DOUGLASS BLVD, NEW YORK, 10030",19931066-00742,0048366,"WEST HARLEM GROUP ASSISTANCE, INC.",1058805,,36061022600,NYC GEOG DIST # 5 - MANHATTAN,310500,40.815239,-73.947074,NEW YORK,26,AFF-WHGA MN-11E L.P.,3,9,1/30/1995,REHAB,1-1939-2,13,70,30,588800.2437107522,4518780.517905673
251 VIRGINIA ST.,"251 VIRGINIA ST, BUFFALO, 14201",19980055-01171,0079519,"HISPANOS UNITED OF BUFFALO, INC.",NA (Outside NYC),,36029007102,BUFFALO CITY SD,140600,42.89462705,-78.88196086,ERIE,5,"HISPANOS UNITED OF BUFFALO, INC",1,5,10/11/2001,REHAB,110.36-4-4,26,149,63,183029.49641151377,4756427.998709785
258-266 EAST 4TH,"258 E 4TH ST, NEW YORK, 10009",19901527-00475,0012576,COMMUNITY ACCESS INC.,1082842,,36061002601,NYC GEOG DIST # 1 - MANHATTAN,310100,40.722716,-73.98177,NEW YORK,51,258 EAST 4TH STREET L.P.,1,51,5/14/1993,NEW,1-386-15,10,65,27,585993.2576354442,4508475.184807021
260 WEST 153RD APARTMENTS,"260 W 153RD ST, NEW YORK, 10039",20126109-01976,0226111,C & C APARTMENT MANAGEMENT LLC,1089911,,36061023600,NYC GEOG DIST # 5 - MANHATTAN,310500,40.82752034,-73.93766475,NEW YORK,51,WEST 153 OWNER LLC,1,51,6/21/2016,NEW,1-2038-7501,13,71,30,589577.2754375599,4520153.430950607
281 BAINBRIDGE STREET,"281 BAINBRIDGE ST, Brooklyn, 11233",20020560-01326,0118625,NEW DESTINY HOUSING CORP.,3047697,,36047038100,NYC GEOG DIST #16 - BROOKLYN,331600,40.68173266,-73.92547636,KINGS,8,CITYWIDE SUPPORTIVE HDFC,1,8,7/11/2004,REHAB,3-1683-89,8,56,25,590803.1898629686,4503982.411275266
2838 W 36 STREET,"2838 W 36TH ST, Brooklyn, 11224",19900809-01219,0001865,ASTELLA DEVELOPMENT CORP.,3188692,100-year,36047032800,NYC GEOG DIST #21 - BROOKLYN,332100,40.57605431,-74.00211342,KINGS,6,"2838 WEST 36TH STREET, HDFC",1,6,10/10/1990,REHAB,3-7004-23,8,46,23,584459.8814648314,4492175.236779812
2982 STONY POINT ROAD APARTMENTS,"2982 STONY POINT RD, GRAND ISLAND, 14072",20010877-00946,0108238,,NA (Outside NYC),500-year,36029007303,GRAND ISLAND CSD,141501,43.04336574,-78.94751391,ERIE,6,HERITAGE CHRISTIAN SERVICES,1,6,11/30/2001,REHAB,24.11-1-9.2,26,145,61,178453.34481768316,4773197.238347496
300-304 EAST 162ND ST. APARTMENTS,"300 E 162ND ST, BRONX, 10451",19950720-00835,0061884,FINGER MANAGEMENT CORP.,2001933,,36005017300,NYC GEOG DIST # 9 - BRONX,320900,40.825912,-73.916855,BRONX,42,5 TELLER ASSOCIATES L.P.,2,21,9/13/1999,REHAB,2-2421-22,15,79,32,591334.2137892905,4519996.372306112
300-304 EAST 162ND ST. APARTMENTS,"304 E 162ND ST, BRONX, 10451",19950720-00835,0090122,FINGER MANAGEMENT CORP.,2001934,,36005017300,NYC GEOG DIST # 9 - BRONX,320900,40.825868,-73.916714,BRONX,42,5 TELLER ASSOCIATES L.P.,2,21,12/9/1999,REHAB,2-2421-24,15,79,32,591346.1639456037,4519991.63488128
301 WINSOR STREET RENOVATION,"301 WINSOR ST, JAMESTOWN, 14701",19920080-01258,0030431,C.O.D.E. INC.,NA (Outside NYC),,36013030500,JAMESTOWN CITY SD,61700,42.09967599,-79.23031508,CHAUTAUQUA,4,C.O.D.E.,1,4,5/20/1993,REHAB,387.34-4-10,23,150,57,150170.12014345918,4669509.718884673
